no,title,content,createdDate,views,writer
1,React 시작하기,React 프로젝트 구조와 컴포넌트의 기본 개념을 정리합니다.,2026-07-01,35,김민준
2,상태 관리 연습,useState를 사용하여 입력값과 목록 데이터를 다루는 방법을 연습합니다.,2026-07-02,48,이서연
3,라우터 설정하기,React Router를 이용해 목록 상세 등록 화면을 연결합니다.,2026-07-03,27,박지훈
4,CSV 데이터 읽기,public 디렉토리에 둔 CSV 파일을 읽어 초기 데이터로 사용하는 예제입니다.,2026-07-04,62,최유진
5,게시글 등록 화면,폼 입력값을 검증하고 새 게시글 객체를 생성하는 흐름을 구현합니다.,2026-07-05,19,정현우
6,게시글 상세 보기,URL 파라미터로 게시글 번호를 받아 선택한 게시글의 내용을 출력합니다.,2026-07-06,54,한지민
7,조회수 증가 처리,상세 화면에 들어갈 때 조회수를 1씩 증가시키는 기능을 추가합니다.,2026-07-07,73,오세훈
8,목록 검색 기능,제목과 작성자 기준으로 게시글 목록을 필터링하는 방법을 살펴봅니다.,2026-07-08,41,강다은
9,삭제 기능 구현,사용자 확인 후 배열에서 선택한 게시글을 제거하는 기능을 만듭니다.,2026-07-09,29,윤태호
10,컴포넌트 분리,목록 항목과 입력 폼을 별도 컴포넌트로 나누어 코드를 정리합니다.,2026-07-10,56,임수아
